codigo,nome,marca,categoria,subcategoria,preco_brl,volume,tipo_pele,ativos_principais,indicacoes,seguro_gestante,vegano,estoque,avaliacao
LB-0203,Protetor Solar Mineral FPS 45 Sensível,Lumina Sun,Proteção solar,Facial,134.90,40g,sensivel;acneica,Zinc Oxide;Titanium Dioxide;Bisabolol,rosácea;pós-procedimento;gestantes,sim,sim,57,4.5
LB-0204,Protetor Solar Corporal FPS 50 Spray,Lumina Sun,Proteção solar,Corpo,89.90,200ml,todas,Uvinul A Plus;Ethylhexyl Triazone,praia e piscina;resistente à água,sim,sim,121,4.4
LB-0301,Gel de Limpeza Ácido Salicílico,Lumina Clean,Limpeza,Gel de limpeza,59.90,150ml,oleosa;acneica;mista,Salicylic Acid;Coco-Glucoside,cravos;oleosidade,nao,sim,198,4.6
LB-0302,Sabonete Facial Syndet Suave,Lumina Clean,Limpeza,Barra,39.90,90g,sensivel;seca;normal,Sodium Cocoyl Isethionate;Glycerin,limpeza sem ressecar;pele reativa,sim,sim,167,4.7
LB-0303,Água Micelar 3 em 1,Lumina Clean,Limpeza,Água micelar,54.90,200ml,todas,Poloxamer;Glycerin;Panthenol,primeira limpeza;remover maquiagem leve,sim,sim,231,4.5
LB-0304,Óleo Demaquilante Bifásico,Lumina Clean,Limpeza,Óleo de limpeza,72.90,150ml,todas,Caprylic/Capric Triglyceride;Helianthus Annuus Seed Oil,maquiagem à prova d'água;dupla limpeza,sim,sim,109,4.8
LB-0305,Máscara de Argila Verde Detox,Lumina Clean,Limpeza,Máscara,49.90,80g,oleosa;mista;acneica,Kaolin;Charcoal Powder;Zinc PCA,controle de oleosidade;1 a 2x por semana,sim,sim,87,4.3
LB-0401,Base Líquida Sérum Cobertura Média,Lumina Color,Maquiagem,Base,129.90,30ml,todas,Sodium Hyaluronate;Niacinamide;Silica,acabamento natural;18 tons,sim,sim,64,4.6
LB-0402,Corretivo Alta Cobertura,Lumina Color,Maquiagem,Corretivo,79.90,7ml,todas,Squalane;Tocopherol,olheiras;manchas;14 tons,sim,sim,112,4.5
LB-0403,Batom Hidratante Acetinado,Lumina Color,Maquiagem,Batom,64.90,3.5g,todas,Butyrospermum Parkii Butter;Tocopherol,conforto;longa duração média,sim,nao,178,4.7
LB-0404,Blush em Bastão Cremoso,Lumina Color,Maquiagem,Blush,69.90,8g,todas,Squalane;Mica,acabamento natural;fácil aplicação,sim,sim,93,4.8
LB-0405,Máscara de Cílios Volume Extremo,Lumina Color,Maquiagem,Máscara de cílios,74.90,10ml,todas,Panthenol;Copernicia Cerifera Wax,volume;à prova de smudge,sim,sim,145,4.4
LB-0501,Shampoo Antioleosidade Sem Sulfato,Lumina Hair,Cabelo,Shampoo,64.90,300ml,couro cabeludo oleoso,Coco-Glucoside;Zinc PCA;Salicylic Acid,oleosidade;caspa leve,sim,sim,132,4.5
LB-0502,Condicionador Reconstrução Proteica,Lumina Hair,Cabelo,Condicionador,69.90,300ml,cabelo com química,Hydrolyzed Keratin;Behentrimonium Chloride,cabelo quebradiço;pós-descoloração,sim,nao,104,4.6
LB-0503,Máscara Hidratação Intensa 4 em 1,Lumina Hair,Cabelo,Máscara capilar,89.90,250g,cabelo seco;cacheado,Butyrospermum Parkii Butter;Panthenol;Amodimethicone,hidratação;definição de cachos,sim,nao,78,4.7
LB-0504,Leave-in Multifuncional Térmico,Lumina Hair,Cabelo,Leave-in,59.90,150ml,todos os tipos,Amodimethicone;Panthenol,proteção térmica;anti-frizz,sim,nao,156,4.5
LB-0505,Óleo Capilar Argan Finalizador,Lumina Hair,Cabelo,Óleo capilar,79.90,60ml,cabelo seco;com química,Argania Spinosa Kernel Oil;Tocopherol,brilho;pontas ressecadas,sim,sim,91,4.6
LB-0601,Kit Rotina Iniciante Pele Oleosa,Lumina Lab,Kit,Kit,219.90,3 itens,oleosa;mista;acneica,Salicylic Acid;Niacinamide;Tinosorb S,limpeza + sérum + protetor,sim,sim,29,4.9
LB-0602,Kit Antimanchas Completo,Lumina Lab,Kit,Kit,329.90,3 itens,todas,Ethyl Ascorbic Acid;Alpha-Arbutin;Tinosorb M,vitamina C + clareador + protetor com cor,sim,sim,18,4.8
LB-0603,Kit Barreira Reparadora,Lumina Care,Kit,Kit,189.90,3 itens,sensivel;seca,Ceramide NP;Centella Asiatica Extract;Panthenol,pele sensibilizada;pós-ácido,sim,sim,24,4.9
