inci,nome_popular,sinonimos,categoria,funcao,comedogenicidade,tipos_de_pele,evitar_em,alertas,nivel_de_atencao
Sodium PCA,PCA de sodio,pca-na;sodium pyrrolidone carboxylate,umectante,Componente do fator natural de hidratacao (NMF); repoe a umidade propria da pele.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Betaine,Betaina,trimethylglycine,umectante,Umectante suave derivado da beterraba; reduz o potencial irritante de tensoativos.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Trehalose,Trealose,,umectante,Acucar que protege as celulas da desidratacao e do estresse ambiental.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Beta-Glucan,Beta-glucana,beta glucan;sodium carboxymethyl betaglucan,calmante,"Hidrata, acalma vermelhidao e apoia a resposta de reparo da pele.",0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Ectoin,Ectoina,ectoine,calmante,Molecula protetora que forma um escudo de hidratacao e reduz danos por poluicao e UV.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Polyglutamic Acid,Acido poliglutamico,sodium polyglutamate;pga,umectante,Umectante de alto peso molecular; forma filme hidratante na superficie da pele.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Niacinamide,Niacinamida (vitamina B3),nicotinamide;vitamin b3;niacinamida,ativo,"Controla oleosidade, reduz manchas e vermelhidao e fortalece a barreira cutanea.",0,oleosa;mista;seca;normal;sensivel;acneica;madura,,acima de 5% pode causar flushing (calor e vermelhidao) em pele reativa,ok
Retinol,Retinol (vitamina A),vitamin a;retinolo,ativo,"Retinoide de referencia: acelera a renovacao celular, suaviza linhas finas e desobstrui poros.",0,oleosa;mista;normal;acneica;madura,gestacao;amamentacao;pele sensibilizada;rosacea em crise;mesma aplicacao que acidos fortes,fotossensibilizante;irritante no inicio do uso;uso noturno;exige protetor solar diario,cuidado
Retinal,Retinaldeido,retinaldehyde;retinaldeido,ativo,Retinoide um passo mais proximo do acido retinoico que o retinol: age mais rapido em dose menor.,0,oleosa;mista;normal;acneica;madura,gestacao;amamentacao;pele sensibilizada;mesma aplicacao que acidos fortes,fotossensibilizante;irritante;uso noturno,cuidado
Retinyl Palmitate,Palmitato de retinila,vitamin a palmitate,ativo,Ester de vitamina A bem suave; efeito mais lento e discreto que o do retinol puro.,2,seca;normal;madura,gestacao;amamentacao,fotossensibilizante leve;uso noturno,atencao
Hydroxypinacolone Retinoate,Granactive Retinoid (HPR),hpr;granactive retinoid,ativo,Ester de retinoide que se liga direto ao receptor da pele: efeito de retinoide com menos irritacao.,0,oleosa;mista;normal;sensivel;acneica;madura,gestacao;amamentacao,uso noturno;exige protetor solar diario,atencao
Bakuchiol,Bakuchiol,psoralea corylifolia seed extract,ativo,Alternativa vegetal ao retinol: efeito antioxidante e antienvelhecimento sem a irritacao classica.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,dado de seguranca na gestacao ainda limitado - confirme com sua obstetra,ok
Ascorbic Acid,Vitamina C pura (acido ascorbico),l-ascorbic acid;vitamin c;acido ascorbico,antioxidante,"Antioxidante potente: clareia manchas, uniformiza o tom e estimula colageno. Precisa de pH acido.",0,oleosa;mista;seca;normal;acneica;madura,pele muito sensivel em alta concentracao;mesma aplicacao que retinoides ou peroxido de benzoila,oxida com luz e ar (fica alaranjado);pode arder em pH baixo;uso matinal,atencao
Ethyl Ascorbic Acid,Vitamina C etilada,3-o-ethyl ascorbic acid;3-o-ethyl-l-ascorbic acid,antioxidante,Derivado estavel de vitamina C: clareia com menos oxidacao e menos ardencia que a forma pura.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Magnesium Ascorbyl Phosphate,Vitamina C (MAP),map,antioxidante,"Derivado de vitamina C estavel em pH neutro; clareamento suave, boa opcao para pele sensivel.",0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Sodium Ascorbyl Phosphate,Vitamina C (SAP),sap,antioxidante,Derivado estavel de vitamina C com acao antioxidante e efeito auxiliar no controle da acne.,0,oleosa;mista;normal;sensivel;acneica,,,ok
Tetrahexyldecyl Ascorbate,Vitamina C lipossoluvel (THDA),thd ascorbate;ascorbyl tetraisopalmitate,antioxidante,"Vitamina C oleosa e estavel, penetra bem em formulas anidras; textura mais rica.",2,seca;normal;madura;mista,,textura oleosa pode incomodar pele muito oleosa,ok
Ferulic Acid,Acido ferulico,,antioxidante,Antioxidante que estabiliza e potencializa vitamina C e vitamina E na mesma formula.,0,oleosa;mista;seca;normal;acneica;madura,,,ok
Tocopherol,Vitamina E,vitamin e;tocopheryl acetate;alpha-tocopherol;vitamina e,antioxidante,Antioxidante lipossoluvel: protege os oleos da formula e reforca a barreira cutanea.,2,mista;seca;normal;madura,,levemente comedogenico em pele muito acneica,ok
Ubiquinone,Coenzima Q10,coenzyme q10;coq10,antioxidante,Antioxidante celular que ajuda a combater os sinais de envelhecimento por radicais livres.,0,mista;seca;normal;madura,,,ok
Resveratrol,Resveratrol,,antioxidante,Antioxidante da uva com acao anti-inflamatoria e protetora contra estresse ambiental.,0,oleosa;mista;seca;normal;madura,,,ok
Glycolic Acid,Acido glicolico (AHA),aha;acido glicolico,esfoliante,"AHA de molecula pequena: esfolia a superficie, ilumina e melhora textura e manchas.",0,oleosa;mista;normal;madura,pele sensivel;rosacea;barreira comprometida;mesma aplicacao que retinoides,fotossensibilizante;irritante;exige protetor solar diario,cuidado
Lactic Acid,Acido latico (AHA),acido latico;acido lactico,esfoliante,AHA mais suave e umectante que o glicolico: esfolia e hidrata ao mesmo tempo.,0,mista;seca;normal;madura,barreira comprometida;mesma aplicacao que retinoides,fotossensibilizante;exige protetor solar diario,atencao
Mandelic Acid,Acido mandelico (AHA),acido mandelico,esfoliante,"AHA de molecula grande: penetra devagar, entao esfolia com pouca irritacao. Bom para pele morena e negra.",0,oleosa;mista;normal;sensivel;acneica;madura,barreira comprometida,fotossensibilizante leve;exige protetor solar diario,atencao
Salicylic Acid,Acido salicilico (BHA),bha;acido salicilico;beta hydroxy acid,esfoliante,"BHA lipossoluvel: entra no poro, dissolve sebo endurecido e trata cravos e acne.",0,oleosa;mista;acneica,gestacao em area extensa;pele seca;pele sensibilizada;mesma aplicacao que retinoides,ressecante;fotossensibilizante leve;exige protetor solar diario,cuidado
Gluconolactone,Gluconolactona (PHA),pha;polyhydroxy acid,esfoliante,PHA de molecula grande: esfoliacao muito suave com efeito hidratante e antioxidante.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Lactobionic Acid,Acido lactobionico (PHA),,esfoliante,"PHA hidratante e antioxidante, indicado para quem nao tolera AHA tradicional.",0,seca;normal;sensivel;madura,,,ok
Azelaic Acid,Acido azelaico,acido azelaico,ativo,"Clareia manchas, reduz vermelhidao e trata acne; um dos poucos ativos liberados na gestacao.",0,oleosa;mista;normal;sensivel;acneica,,pode causar formigamento nas primeiras semanas,ok
Tranexamic Acid,Acido tranexamico,acido tranexamico,clareador,"Clareador de manchas dificeis, especialmente melasma e marcas pos-inflamatorias.",0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Alpha-Arbutin,Alfa-arbutin,arbutin;arbutina;beta-arbutin,clareador,Inibe a producao de melanina de forma gradual e suave; bom para manchas e pos-acne.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Kojic Acid,Acido kojico,kojic dipalmitate;acido kojico,clareador,"Clareador derivado de fungos, usado em manchas e melasma.",0,oleosa;mista;normal;madura,pele sensivel,potencial de sensibilizacao e dermatite de contato,atencao
Hydroquinone,Hidroquinona,hidroquinona,clareador,Clareador potente de uso restrito; no Brasil so por prescricao em produto manipulado ou medicamento.,0,oleosa;mista;normal,gestacao;amamentacao;uso sem acompanhamento medico;uso continuo prolongado,uso restrito - nao permitido em cosmetico de venda livre no Brasil;risco de ocronose com uso prolongado;fotossensibilizante,cuidado
Benzoyl Peroxide,Peroxido de benzoila,bpo;peroxido de benzoila,ativo,Antibacteriano que mata a C. acnes; padrao ouro para acne inflamatoria.,0,oleosa;mista;acneica,pele seca;pele sensivel;mesma aplicacao que retinol ou vitamina C pura,ressecante e irritante;descolore tecidos e toalhas;fotossensibilizante,cuidado
Sulfur,Enxofre,sulphur;enxofre,ativo,"Secativo e antimicrobiano; usado em acne, rosacea e dermatite seborreica.",0,oleosa;mista;acneica,pele seca,ressecante;odor caracteristico,atencao
Zinc PCA,PCA de zinco,zinc pidolate,seborregulador,Reduz a producao de sebo e tem acao antibacteriana leve.,0,oleosa;mista;acneica,,,ok
Centella Asiatica Extract,Centelha asiatica (cica),cica;centella asiatica leaf extract;madecassoside;asiaticoside;madecassic acid;asiatic acid;centella,calmante,"Acalma vermelhidao, apoia a cicatrizacao e reforca a barreira; queridinha das rotinas pos-acido.",0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Allantoin,Alantoina,alantoina,calmante,"Suaviza, acalma e ajuda a renovar a superficie da pele sem irritar.",0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Bisabolol,Bisabolol,alpha-bisabolol;levomenol,calmante,Derivado da camomila com acao anti-inflamatoria e calmante.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Aloe Barbadensis Leaf Juice,Babosa (aloe vera),aloe vera;aloe barbadensis leaf extract;babosa,calmante,"Refresca, hidrata levemente e acalma pele irritada ou com queimadura solar.",0,oleosa;mista;seca;normal;sensivel;acneica,,sensibilizacao possivel em quem tem alergia a plantas da familia Liliaceae,ok
Camellia Sinensis Leaf Extract,Cha verde,green tea extract;cha verde;egcg,antioxidante,Antioxidante e anti-inflamatorio; ajuda a controlar oleosidade e vermelhidao.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Glycyrrhiza Glabra Root Extract,Alcacuz,licorice root extract;glabridin;alcacuz,clareador,Clareia manchas e acalma vermelhidao; opcao suave para pele sensivel com melasma.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Ceramide NP,Ceramida NP,ceramide 3;ceramide np;ceramide ap;ceramide eop;ceramide ns;ceramidas,reparador,Repoe o lipidio que cimenta as celulas da barreira cutanea; reduz perda de agua.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Cholesterol,Colesterol,,reparador,Lipidio natural da barreira; trabalha em conjunto com ceramidas e acidos graxos.,0,seca;normal;sensivel;madura,,,ok
Phytosphingosine,Fitoesfingosina,,reparador,Precursor de ceramida com acao antimicrobiana leve; apoia a barreira e o microbioma.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Palmitoyl Tripeptide-1,Peptideo de matriz,palmitoyl pentapeptide-4;palmitoyl tetrapeptide-7;matrixyl;peptideos,ativo,Sinaliza para a pele produzir mais colageno; efeito antienvelhecimento gradual e sem irritacao.,0,oleosa;mista;seca;normal;sensivel;madura,,,ok
Acetyl Hexapeptide-8,Argireline,argireline;acetyl hexapeptide-3,ativo,Peptideo que relaxa a contracao muscular superficial; suaviza linhas de expressao.,0,mista;seca;normal;madura,,,ok
Copper Tripeptide-1,Peptideo de cobre (GHK-Cu),ghk-cu,ativo,Peptideo regenerador que apoia reparo tecidual e firmeza.,0,mista;seca;normal;madura,mesma aplicacao que vitamina C pura ou acidos fortes,instavel junto de acidos - alternar os horarios,atencao
Squalane,Esqualano,olive squalane;sugarcane squalane;esqualano,emoliente,Oleo leve identico ao lipidio da pele; hidrata sem pesar e nao obstrui poros.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Caprylic/Capric Triglyceride,Triglicerideo de coco fracionado,fractionated coconut oil;cct,emoliente,Oleo leve e estavel derivado do coco; espalha bem e da toque sedoso.,1,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Simmondsia Chinensis Seed Oil,Oleo de jojoba,jojoba oil;jojoba,emoliente,Cera liquida muito parecida com o sebo humano; hidrata e ajuda a equilibrar a oleosidade.,2,oleosa;mista;seca;normal;sensivel,,,ok
Rosa Canina Fruit Oil,Oleo de rosa mosqueta,rosehip oil;rosa mosqueta;rosa moschata seed oil,emoliente,"Rico em acidos graxos e vitamina A natural; usado para marcas, cicatrizes e pele madura.",1,mista;seca;normal;madura,,oxida rapido - guarde longe de luz e calor,ok
Argania Spinosa Kernel Oil,Oleo de argan,argan oil;argan,emoliente,Oleo nutritivo rico em vitamina E; muito usado em cabelo e pele seca.,0,mista;seca;normal;madura,,,ok
Cocos Nucifera Oil,Oleo de coco,coconut oil;oleo de coco,emoliente,"Oleo nutritivo e oclusivo, otimo para corpo e cabelo.",4,seca,pele acneica;rosto oleoso;quem tem tendencia a cravos,altamente comedogenico no rosto,cuidado
Butyrospermum Parkii Butter,Manteiga de karite,shea butter;karite;manteiga de karite,emoliente,"Manteiga rica e oclusiva; excelente para pele seca, corpo, maos e labios.",2,seca;normal;madura,rosto muito oleoso,,ok
Theobroma Cacao Seed Butter,Manteiga de cacau,cocoa butter;manteiga de cacau,emoliente,Manteiga oclusiva que sela a hidratacao; classica em produtos de corpo e labios.,4,seca,pele acneica;rosto oleoso,comedogenico no rosto,atencao
Prunus Amygdalus Dulcis Oil,Oleo de amendoas doces,sweet almond oil;oleo de amendoas,emoliente,"Oleo leve e calmante, muito usado em corpo e massagem.",2,seca;normal;sensivel,alergia a castanhas,,ok
Helianthus Annuus Seed Oil,Oleo de girassol,sunflower seed oil;oleo de girassol,emoliente,Oleo rico em acido linoleico; apoia a barreira e e bem tolerado por pele acneica.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Olea Europaea Fruit Oil,Oleo de oliva,olive oil;azeite de oliva,emoliente,"Oleo pesado e nutritivo, rico em acido oleico.",2,seca,pele acneica;dermatite atopica,alto teor de acido oleico pode desestabilizar a barreira em pele sensivel,atencao
Persea Gratissima Oil,Oleo de abacate,avocado oil;oleo de abacate,emoliente,Oleo denso e nutritivo para pele muito seca e cabelo.,3,seca;madura,pele acneica;rosto oleoso,comedogenico no rosto,atencao
Paraffinum Liquidum,Oleo mineral,mineral oil;petrolatum;vaselina;petrolato;paraffin,oclusivo,Oclusivo inerte que forma barreira fisica e reduz muito a perda de agua.,1,seca;normal;sensivel,rosto acneico com tendencia a cravos,oclusivo - pode reter sebo em pele oleosa,ok
Lanolin,Lanolina,lanolina;lanolin alcohol,oclusivo,Cera de origem animal muito oclusiva; classica em labios rachados e mamilos.,3,seca,pele acneica;alergia a la,alergeno de contato conhecido;comedogenico,atencao
Dimethicone,Dimeticona (silicone),silicone;dimeticona;dimethiconol,silicone,"Silicone que forma filme respiravel: da toque aveludado, alisa a pele e reduz perda de agua.",1,oleosa;mista;seca;normal;sensivel;acneica,,exige limpeza adequada no fim do dia,ok
Cyclopentasiloxane,Ciclopentasiloxano,d5;cyclohexasiloxane;d6,silicone,Silicone volatil que espalha o produto e evapora; deixa toque seco.,0,oleosa;mista;seca;normal;acneica,,restricoes ambientais na UE para produtos de enxague,ok
Cetyl Alcohol,Alcool cetilico,cetearyl alcohol;stearyl alcohol;behenyl alcohol;alcool cetoestearilico;cetearyl,emoliente,Alcool graxo - nao resseca. Da corpo ao creme e ajuda a estabilizar a emulsao.,2,mista;seca;normal;sensivel;madura,,nao confundir com Alcohol Denat.: este hidrata em vez de ressecar,ok
Isopropyl Myristate,Miristato de isopropila,isopropyl palmitate;ipm,emoliente,Emoliente de espalhamento rapido que reduz a sensacao oleosa da formula.,4,seca;normal,pele acneica;rosto oleoso,um dos emolientes mais comedogenicos,cuidado
C12-15 Alkyl Benzoate,Benzoato de alquila C12-15,,emoliente,"Emoliente leve e seco, muito usado em protetor solar e base.",1,oleosa;mista;normal;acneica,,,ok
Coco-Caprylate,Coco-caprilato,coco-caprylate/caprate,emoliente,"Emoliente vegetal leve, alternativa natural aos silicones volateis.",1,oleosa;mista;seca;normal;acneica,,,ok
Isododecane,Isododecano,isohexadecane,veiculo,Solvente volatil de maquiagem a prova d'agua; evapora e deixa o pigmento fixado.,0,oleosa;mista;normal;acneica,,exige demaquilante bifasico ou oleoso para sair,ok
Glyceryl Stearate,Estearato de glicerila,glyceryl stearate se;peg-100 stearate,emulsificante,Emulsificante que mantem agua e oleo juntos e da consistencia ao creme.,2,mista;seca;normal;sensivel,,,ok
Polysorbate 20,Polissorbato 20,polysorbate 60;polysorbate 80;tween,emulsificante,Solubilizante que dispersa oleos e fragrancias em formulas aquosas.,0,oleosa;mista;seca;normal;acneica,,,ok
Sodium Lauryl Sulfate,Lauril sulfato de sodio (SLS),sls;lauril sulfato de sodio;ammonium lauryl sulfate,tensoativo,Tensoativo anionico de limpeza forte e muita espuma.,0,oleosa,pele seca;pele sensivel;dermatite atopica;couro cabeludo irritado;cabelo com quimica,irritante conhecido;ressecante,cuidado
Sodium Laureth Sulfate,Laureth sulfato de sodio (SLES),sles;sodium lauryl ether sulfate,tensoativo,Versao etoxilada e mais suave que o SLS; limpa bem com boa espuma.,0,oleosa;mista;normal,pele muito sensivel;dermatite atopica,pode ressecar em uso frequente,atencao
Cocamidopropyl Betaine,Cocoamidopropil betaina,capb;coco betaina,tensoativo,Tensoativo anfoterico suave; reduz a agressividade dos sulfatos e melhora a espuma.,0,oleosa;mista;seca;normal;acneica,dermatite de contato ja diagnosticada a CAPB,alergeno de contato ocasional (residuo de amidoamina),ok
Sodium Cocoyl Isethionate,Cocoil isetionato de sodio,sci,tensoativo,"Tensoativo muito suave e cremoso, base de sabonetes syndet e barras faciais.",0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Coco-Glucoside,Coco-glucosideo,decyl glucoside;lauryl glucoside;caprylyl/capryl glucoside,tensoativo,Tensoativo nao ionico de origem vegetal; limpeza suave para pele reativa.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Sodium C14-16 Olefin Sulfonate,Olefina sulfonato de sodio,aos,tensoativo,Tensoativo de limpeza intensa usado como substituto de sulfato.,0,oleosa,pele seca;pele sensivel,potencial irritante semelhante ao dos sulfatos,atencao
Phenoxyethanol,Fenoxietanol,fenoxietanol,conservante,Conservante padrao da industria; impede crescimento de bacteria e fungo. Limite de 1% no Brasil e na UE.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Ethylhexylglycerin,Etilexilglicerina,,conservante,Potencializador de conservante e emoliente; quase sempre acompanha o fenoxietanol.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Sodium Benzoate,Benzoato de sodio,potassium sorbate;sorbato de potassio;benzoato de sodio,conservante,Conservante de baixo risco que funciona em pH acido; comum em formulas naturais.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Benzyl Alcohol,Alcool benzilico,alcool benzilico,conservante,Conservante e solvente suave; tambem consta como alergeno de fragrancia.,0,oleosa;mista;seca;normal;acneica,dermatite de contato conhecida,alergeno de declaracao obrigatoria na UE,atencao
Methylparaben,Metilparabeno,ethylparaben;propylparaben;butylparaben;parabenos;parabens,conservante,Conservante de historico longo e eficaz; permitido dentro dos limites da ANVISA e da UE.,0,oleosa;mista;seca;normal;acneica,,debate publico sobre atividade hormonal; orgaos reguladores mantem como seguro nas concentracoes permitidas,ok
Methylisothiazolinone,Metilisotiazolinona (MIT),mit;mi;methylchloroisothiazolinone;cmit;kathon,conservante,Conservante potente de uso restrito; proibido em produtos sem enxague na UE.,0,oleosa,pele sensivel;dermatite de contato;produto que fica na pele,alergeno de contato de alta relevancia - causa importante de dermatite;restrito a produtos de enxague,cuidado
DMDM Hydantoin,DMDM hidantoina,imidazolidinyl urea;diazolidinyl urea;quaternium-15;liberadores de formaldeido,conservante,Conservante que age liberando formaldeido lentamente na formula.,0,oleosa;normal,pele sensivel;alergia a formaldeido;cabelo pos-progressiva,"liberador de formaldeido - exige aviso no rotulo acima de 0,001% na UE;alergeno de contato",cuidado
Chlorphenesin,Clorfenesina,,conservante,"Conservante auxiliar antifungico, comum em produtos com muito extrato vegetal.",0,oleosa;mista;seca;normal;acneica,,,ok
Titanium Dioxide,Dioxido de titanio,ci 77891;tio2;dioxido de titanio,filtro_solar,Filtro fisico (mineral) de amplo espectro; tambem usado como pigmento branco.,1,oleosa;mista;seca;normal;sensivel;acneica;madura,,pode deixar residuo esbranquicado em pele morena e negra,ok
Zinc Oxide,Oxido de zinco,ci 77947;zno;oxido de zinco,filtro_solar,Filtro fisico de amplo espectro com acao calmante; bom para pele sensivel e com rosacea.,1,oleosa;mista;seca;normal;sensivel;acneica,,pode deixar residuo esbranquicado em pele morena e negra,ok
Ethylhexyl Methoxycinnamate,Octinoxato,octinoxate;octyl methoxycinnamate;omc,filtro_solar,Filtro quimico de UVB muito usado; leve e cosmeticamente agradavel.,1,oleosa;mista;seca;normal,pele muito sensivel,restricoes ambientais (recifes de coral) em alguns paises;protege pouco contra UVA sozinho,atencao
Butyl Methoxydibenzoylmethane,Avobenzona,avobenzone;parsol 1789;avobenzona,filtro_solar,Principal filtro quimico de UVA; precisa de estabilizante para nao degradar no sol.,0,oleosa;mista;seca;normal,,fotoinstavel sozinho - deve vir com octocrileno ou Tinosorb,ok
Octocrylene,Octocrileno,octocrileno,filtro_solar,Filtro de UVB que tambem estabiliza a avobenzona na formula.,1,oleosa;mista;seca;normal,historico de fotoalergia,causa relativamente comum de fotoalergia de contato,atencao
Benzophenone-3,Oxibenzona,oxybenzone;oxibenzona,filtro_solar,"Filtro quimico de amplo espectro, hoje em desuso por questoes de seguranca e ambientais.",0,oleosa;normal,gestacao;criancas;pele sensivel,absorcao sistemica relevante;alergeno e fotoalergeno;restricoes ambientais,cuidado
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Tinosorb S,tinosorb s;bemotrizinol,filtro_solar,"Filtro de amplo espectro, fotoestavel e de baixa absorcao; padrao dos protetores europeus.",0,oleosa;mista;seca;normal;sensivel;acneica,,"nao aprovado nos EUA - comum no Brasil, UE e Asia",ok
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,Tinosorb M,tinosorb m;bisoctrizole,filtro_solar,Filtro hibrido (absorve e reflete) de amplo espectro e alta fotoestabilidade.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Ethylhexyl Triazone,Uvinul T 150,uvinul t 150;octyl triazone,filtro_solar,Filtro de UVB muito potente em baixa concentracao; permite FPS alto com textura leve.,0,oleosa;mista;seca;normal;acneica,,,ok
Diethylamino Hydroxybenzoyl Hexyl Benzoate,Uvinul A Plus,uvinul a plus;dhhb,filtro_solar,"Filtro de UVA fotoestavel, alternativa moderna a avobenzona.",0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Homosalate,Homossalato,ethylhexyl salicylate;octisalate;homossalato,filtro_solar,Filtro de UVB que tambem funciona como solvente de outros filtros solidos.,1,oleosa;mista;seca;normal,,limite de concentracao reduzido na UE por avaliacao de seguranca,atencao
Parfum,Fragrancia,fragrance;aroma;perfume;essencia;fragrancia,fragrancia,Mistura de aromatizantes; aparece como termo unico no rotulo e pode esconder dezenas de substancias.,0,oleosa;mista;normal,pele sensivel;rosacea;dermatite atopica;eczema;pele de bebe,principal causa de dermatite alergica de contato em cosmeticos;composicao nao detalhada no rotulo,atencao
Limonene,Limoneno,d-limonene;limoneno,fragrancia,Componente aromatico citrico; alergeno de declaracao obrigatoria na UE.,0,oleosa;mista;normal,pele sensivel;eczema,alergeno de fragrancia;oxida com o tempo e fica mais sensibilizante,atencao
Linalool,Linalol,linalol,fragrancia,Componente aromatico floral presente em lavanda e bergamota; alergeno declarado.,0,oleosa;mista;normal,pele sensivel;eczema,alergeno de fragrancia;oxida e aumenta o potencial alergenico,atencao
Citronellol,Citronelol,geraniol;citral;eugenol;coumarin;benzyl salicylate;hexyl cinnamal;benzyl benzoate;alergenos de fragrancia,fragrancia,Componente aromatico da lista de 26 alergenos de declaracao obrigatoria na UE.,0,oleosa;mista;normal,pele sensivel;eczema,alergeno de fragrancia,atencao
Melaleuca Alternifolia Leaf Oil,Oleo de melaleuca (tea tree),tea tree oil;melaleuca,oleo_essencial,"Oleo essencial com acao antibacteriana; usado em acne, mas irrita com facilidade.",0,oleosa;acneica,pele sensivel;uso puro sem diluicao;area dos olhos,alergeno de contato;mais sensibilizante quando oxidado,atencao
Lavandula Angustifolia Oil,Oleo de lavanda,lavender oil;lavanda,oleo_essencial,"Oleo essencial aromatico; efeito sensorial calmante, mas potencial irritante na pele.",0,normal,pele sensivel;rosacea;eczema,fonte natural de linalol - alergeno de fragrancia,atencao
Citrus Limon Peel Oil,Oleo essencial de limao,lemon oil;citrus bergamia oil;bergamota;citrus aurantium dulcis peel oil,oleo_essencial,Oleo essencial citrico aromatico.,0,,uso diurno;pele sensivel;exposicao solar apos aplicacao,fototoxico: pode causar manchas e queimadura ao sol (fitofotodermatose),cuidado
Menthol,Mentol,camphor;canfora;peppermint oil;mentha piperita oil;mentol,fragrancia,"Da sensacao de frescor imediato, mas a sensacao vem de irritacao do receptor da pele.",0,oleosa,pele sensivel;rosacea;barreira comprometida;area dos olhos,irritante mascarado de refrescancia,atencao
Xanthan Gum,Goma xantana,goma xantana,espessante,Espessante natural que da corpo ao gel e estabiliza a formula.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
